MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,File Internal Path
991011565361104641,alma:01GCL_INST/bibs/991011565361104641; http://hdl.handle.net/11084/11941; grinnell:11941,In Repository,PHPP - Community Contributions,No,CC/08/E0/0E/B9/53/C3/14/00/DA/CB/FE/E2/53/31/84/grinnell_11941_OBJ.tiff
991011565361204641,alma:01GCL_INST/bibs/991011565361204641; http://hdl.handle.net/11084/11940; grinnell:11940,In Repository,PHPP - Community Contributions,No,7A/FB/54/1E/6A/AE/06/E3/60/DB/C5/9D/77/ED/C1/35/grinnell_11940_OBJ.tiff
991011565361304641,alma:01GCL_INST/bibs/991011565361304641; http://hdl.handle.net/11084/11939; grinnell:11939,In Repository,PHPP - Community Contributions,No,F4/83/4B/92/7F/2D/ED/C6/1B/F2/65/DD/B3/39/46/13/grinnell_11939_OBJ.tiff
991011565361404641,alma:01GCL_INST/bibs/991011565361404641; http://hdl.handle.net/11084/11938; grinnell:11938,In Repository,PHPP - Community Contributions,No,7B/C9/9B/9D/C6/65/EF/AD/37/25/BF/E2/7A/0D/01/A9/grinnell_11938_OBJ.tiff
991011565361504641,alma:01GCL_INST/bibs/991011565361504641; http://hdl.handle.net/11084/11937; grinnell:11937,In Repository,PHPP - Community Contributions,No,4A/08/FF/97/4B/0C/D6/D3/B7/9E/F3/A5/D0/14/A1/9C/grinnell_11937_OBJ.tiff
991011565361604641,alma:01GCL_INST/bibs/991011565361604641; http://hdl.handle.net/11084/11935; grinnell:11935,In Repository,PHPP - Community Contributions,No,91/2E/7C/50/99/F1/21/CD/30/C8/17/AB/05/84/9A/4C/grinnell_11935_OBJ.tiff
991011565361704641,alma:01GCL_INST/bibs/991011565361704641; http://hdl.handle.net/11084/11931; grinnell:11931,In Repository,PHPP - Community Contributions,No,61/F1/BA/DE/8F/A3/C7/62/9C/91/D2/53/03/F8/A4/43/grinnell_11931_OBJ.tiff
991011565361804641,alma:01GCL_INST/bibs/991011565361804641; http://hdl.handle.net/11084/11930; grinnell:11930,In Repository,PHPP - Community Contributions,No,E6/C8/A4/9F/2E/4B/0A/D9/41/7B/D9/F8/4B/5C/6A/1E/grinnell_11930_OBJ.tiff
991011565361904641,alma:01GCL_INST/bibs/991011565361904641; http://hdl.handle.net/11084/11929; grinnell:11929,In Repository,PHPP - Community Contributions,No,08/ED/C3/13/FD/A8/2E/48/CC/FB/0F/1D/4F/CB/27/83/grinnell_11929_OBJ.tiff
991011565362004641,alma:01GCL_INST/bibs/991011565362004641; http://hdl.handle.net/11084/11928; grinnell:11928,In Repository,PHPP - Community Contributions,No,F0/D2/A1/A9/BB/64/DD/8F/0F/42/F1/23/33/C7/6C/AE/grinnell_11928_OBJ.tiff
991011565362104641,alma:01GCL_INST/bibs/991011565362104641; http://hdl.handle.net/11084/11927; grinnell:11927,In Repository,PHPP - Community Contributions,No,04/28/0C/60/8F/81/F9/29/F5/C0/0D/B7/81/43/A0/44/grinnell_11927_OBJ.tiff
991011565362204641,alma:01GCL_INST/bibs/991011565362204641; http://hdl.handle.net/11084/11926; grinnell:11926,In Repository,PHPP - Community Contributions,No,B2/87/83/7C/90/84/48/4C/66/CA/33/16/38/D7/0D/7A/grinnell_11926_OBJ.tiff
991011565362304641,alma:01GCL_INST/bibs/991011565362304641; http://hdl.handle.net/11084/11925; grinnell:11925,In Repository,PHPP - Community Contributions,No,B0/82/7B/51/B1/E7/BB/F1/15/B3/75/6C/64/F7/98/A7/grinnell_11925_OBJ.tiff
991011565362404641,alma:01GCL_INST/bibs/991011565362404641; http://hdl.handle.net/11084/11924; grinnell:11924,In Repository,PHPP - Community Contributions,No,77/F8/AA/C0/50/05/B1/AB/B5/89/19/61/2E/1B/91/ED/grinnell_11924_OBJ.tiff
991011565362504641,alma:01GCL_INST/bibs/991011565362504641; http://hdl.handle.net/11084/20680; grinnell:20680,In Repository,PHPP - Community Contributions,No,8C/15/A9/CF/C9/9D/9B/F3/33/57/B3/FA/FB/2B/3E/75/grinnell_20680_OBJ.jpg
991011565362604641,alma:01GCL_INST/bibs/991011565362604641; http://hdl.handle.net/11084/17382; grinnell:17382,In Repository,PHPP - Community Contributions,No,99/76/80/57/D0/A0/E8/2C/FE/9E/86/AB/1E/90/FD/C4/grinnell_17382_OBJ.tiff
991011565362704641,alma:01GCL_INST/bibs/991011565362704641; http://hdl.handle.net/11084/20661; grinnell:20661,In Repository,PHPP - Community Contributions,No,A5/47/D3/D6/67/2B/05/D7/D1/EB/48/7F/E7/A4/E1/CD/grinnell_20661_OBJ.pdf
991011565362804641,alma:01GCL_INST/bibs/991011565362804641; http://hdl.handle.net/11084/17381; grinnell:17381,In Repository,PHPP - Community Contributions,No,12/7D/28/D1/D2/92/44/25/A8/E2/9B/63/05/7E/22/E4/grinnell_17381_OBJ.tiff
